name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
Allen A71 U.T.I. (Urinary Tract Infections) Drop,bottle of 30 ml Drop,₹170,₹162,https://www.1mg.com/otc/allen-a71-u.t.i.-urinary-tract-infections-drop-otc330234
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
LDD Bioscience Orthonip,bottle of 60 tablets,₹450,₹405,https://www.1mg.com/otc/ldd-bioscience-orthonip-otc628290
Medisynth Guatteria Gaumeri Mother Tincture Q,bottle of 30 ml Mother Tincture,₹350,₹319,https://www.1mg.com/otc/medisynth-guatteria-gaumeri-mother-tincture-q-otc789358
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
ADEL 73 Mucan Drop,bottle of 20 ml Drop,₹295,₹233,https://www.1mg.com/otc/adel-73-mucan-drop-otc326062
Dr Willmar Schwabe India Cascara Sagrada Mother Tincture Q,bottle of 30 ml Mother Tincture,₹335,₹286,https://www.1mg.com/otc/dr-willmar-schwabe-india-cascara-sagrada-mother-tincture-q-otc390839
Dr Willmar Schwabe India Topi Cardiospermum Cream,tube of 25 gm Cream,₹80,₹72,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-cardiospermum-cream-otc326142
Wheezal Gastrolex Drop,bottle of 30 ml Drop,₹150,₹135,https://www.1mg.com/otc/wheezal-gastrolex-drop-otc722967
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Rhus Toxicodendron Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹135,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-1000-ch-otc338183
Bhargava Ague Nil Syrup,bottle of 200 ml Syrup,₹160,₹147,https://www.1mg.com/otc/bhargava-ague-nil-syrup-otc367503
SBL Relaxhed Drop,bottle of 30 ml Drop,₹130,₹116,https://www.1mg.com/otc/sbl-relaxhed-drop-otc329020
REPL Vigoura Hy Power Drop,bottle of 30 ml Drop,₹449,₹404,https://www.1mg.com/otc/repl-vigoura-hy-power-drop-otc326003
Dr. Reckeweg Thuja Occ Dilution 1000 CH,bottle of 11 ml Dilution,₹210,₹200,https://www.1mg.com/otc/dr.-reckeweg-thuja-occ-dilution-1000-ch-otc331560
Dr Willmar Schwabe India Andrographis Paniculata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹115,₹106,https://www.1mg.com/otc/dr-willmar-schwabe-india-andrographis-paniculata-mother-tincture-q-otc390768
Dr Willmar Schwabe India Graphites Pentarkan Ptk 50 Tablet,bottle of 20 gm Tablet,₹185,₹160,https://www.1mg.com/otc/dr-willmar-schwabe-india-graphites-pentarkan-ptk-50-tablet-otc327654
SBL Teucrium Marum Verum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-teucrium-marum-verum-dilution-30-ch-otc348852
Dr Willmar Schwabe India Carbo Vegetabilis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-carbo-vegetabilis-dilution-200-ch-otc398634
Dr Willmar Schwabe India Paeonia Officinalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹160,₹142,https://www.1mg.com/otc/dr-willmar-schwabe-india-paeonia-officinalis-mother-tincture-q-otc391480
SBL Ginkgo Biloba Tablet 1X,bottle of 25 gm Tablet,₹315,₹284,https://www.1mg.com/otc/sbl-ginkgo-biloba-tablet-1x-otc330986
ADEL Neo-Card N Gold Drop,bottle of 30 ml Drop,₹425,₹362,https://www.1mg.com/otc/adel-neo-card-n-gold-drop-otc327693
Lord's Glow Care Complexion Cream,tube of 25 gm Cream,₹120,₹96,https://www.1mg.com/otc/lord-s-glow-care-complexion-cream-otc392823
Dr Willmar Schwabe India Bio-Combination  20 (BC 20) Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹94.2,https://www.1mg.com/otc/dr-willmar-schwabe-india-bio-combination-20-bc-20-tablet-otc921722
Dr. Reckeweg Bio-Combination 10 (BC 10) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹193,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-10-bc-10-tablet-otc326277
Dr Willmar Schwabe India Uranium Nitricum Trituration Tablet 4X,bottle of 20 gm Trituration Tablet,₹150,₹135,https://www.1mg.com/otc/dr-willmar-schwabe-india-uranium-nitricum-trituration-tablet-4x-otc400810
Wheezal Calendula Nectar Prickly Heat Powder,bottle of 300 gm Powder,₹210,₹183,https://www.1mg.com/otc/wheezal-calendula-nectar-prickly-heat-powder-otc537007
Dr. Reckeweg Natrum Muriaticum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹185,₹175,https://www.1mg.com/otc/dr.-reckeweg-natrum-muriaticum-biochemic-tablet-6x-otc476685
Dr. Reckeweg Colocynthis Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹165,https://www.1mg.com/otc/dr.-reckeweg-colocynthis-dilution-200-ch-otc335464
New Life NL 17 Fistula Drop,bottle of 30 ml Drop,₹160,₹144,https://www.1mg.com/otc/new-life-nl-17-fistula-drop-otc701166
Dr Willmar Schwabe India Muira Puama Mother Tincture Q,bottle of 30 ml Mother Tincture,₹410,₹352,https://www.1mg.com/otc/dr-willmar-schwabe-india-muira-puama-mother-tincture-q-otc391402
SBL Gaultheria Procumbens Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹301,https://www.1mg.com/otc/sbl-gaultheria-procumbens-mother-tincture-q-otc348919
Dr Boricke Rapi Grow Oral Drops (30ml Each),combo pack of 2 ml Bottle,₹380,₹375,https://www.1mg.com/otc/dr-boricke-rapi-grow-oral-drops-30ml-each-otc850195
SBL Thyroidinum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-thyroidinum-dilution-200-ch-otc348820
SBL Bio-Combination 25 Tablet,bottle of 450 gm Biocombination Tablet,₹720,₹603,https://www.1mg.com/otc/sbl-bio-combination-25-tablet-otc812891
Dr. Reckeweg Arnica Mont Mother Tincture Q,bottle of 20 ml Mother Tincture,₹315,₹279,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-mother-tincture-q-otc327800
Wheezal Eye Bright Eye Drop,bottle of 10 ml Eye Drop,₹100,₹91,https://www.1mg.com/otc/wheezal-eye-bright-eye-drop-otc339231
Bakson B10 Sleep Drop,bottle of 30 ml Drop,₹185,₹162,https://www.1mg.com/otc/bakson-b10-sleep-drop-otc388019
Bjain Nux Vomica Dilution 200 CH,bottle of 100 ml Dilution,₹190,₹158,https://www.1mg.com/otc/bjain-nux-vomica-dilution-200-ch-otc436286
New Life Bach Flower Aspen 30,bottle of 30 ml Dilution,₹125,₹116,https://www.1mg.com/otc/new-life-bach-flower-aspen-30-otc386704
Bjain Omeo Mouth Ulcer Tablet,bottle of 25 gm Tablet,₹155,₹116,https://www.1mg.com/otc/bjain-omeo-mouth-ulcer-tablet-otc328713
Dr Willmar Schwabe India Thuja Occidentalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹111,https://www.1mg.com/otc/dr-willmar-schwabe-india-thuja-occidentalis-mother-tincture-q-otc391581
Allen Derma Plus Cream,tube of 25 gm Cream,₹100,₹96,https://www.1mg.com/otc/allen-derma-plus-cream-otc330458
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Allen A02 Anti Fungal Drop,bottle of 30 ml Drop,₹170,₹161,https://www.1mg.com/otc/allen-a02-anti-fungal-drop-otc330447
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Calcarea Fluorica Biochemic Tablet 30X,bottle of 25 gm Biochemic Tablet,₹110,₹98,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-30x-otc331089
SBL Bio-Combination 28 Tablet,bottle of 450 gm Biocombination Tablet,₹720,₹601,https://www.1mg.com/otc/sbl-bio-combination-28-tablet-otc812896
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Lord's Tone Up Rejuvenator Tonic,bottle of 450 ml Tonic,₹425,₹410,https://www.1mg.com/otc/lord-s-tone-up-rejuvenator-tonic-otc634671
ADEL Merc Sol Dilution 200,bottle of 10 ml Dilution,₹180,₹169,https://www.1mg.com/otc/adel-merc-sol-dilution-200-otc333560
Wheezal Mixture Syrup,bottle of 120 ml Syrup,₹125,₹123,https://www.1mg.com/otc/wheezal-mixture-syrup-otc624068
SBL Coffea Cruda Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹102,https://www.1mg.com/otc/sbl-coffea-cruda-dilution-200-ch-otc346201
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Lachesis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹109,https://www.1mg.com/otc/sbl-lachesis-dilution-200-ch-otc348086
Medisynth Tonsilon Forte Drop,bottle of 30 ml Drop,₹175,₹156,https://www.1mg.com/otc/medisynth-tonsilon-forte-drop-otc339295
Dr. Reckeweg China Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹147,https://www.1mg.com/otc/dr.-reckeweg-china-dilution-200-ch-otc335566
Dr. Reckeweg Acid Nitricum Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹166,https://www.1mg.com/otc/dr.-reckeweg-acid-nitricum-dilution-200-ch-otc335586
Allen A08 Diabetes Drop,bottle of 30 ml Drop,₹170,₹156,https://www.1mg.com/otc/allen-a08-diabetes-drop-otc330371
Bakson's Homeopathy Alfavena Malt,jar of 500 gm Powder,₹380,₹320,https://www.1mg.com/otc/bakson-s-homeopathy-alfavena-malt-otc538412
Dr Willmar Schwabe India Aesculus Hippocastanum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹96,https://www.1mg.com/otc/dr-willmar-schwabe-india-aesculus-hippocastanum-mother-tincture-q-otc390631
SBL Eupatorium Perfoliatum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹103,https://www.1mg.com/otc/sbl-eupatorium-perfoliatum-dilution-200-ch-otc338203
ADEL 43 Cardinorma Drop,bottle of 20 ml Drop,₹310,₹276,https://www.1mg.com/otc/adel-43-cardinorma-drop-otc327725
ADEL Merc Sol Dilution 30 CH,bottle of 10 ml Dilution,₹155,₹150,https://www.1mg.com/otc/adel-merc-sol-dilution-30-ch-otc327399
Dr. Reckeweg Syzygium Jamb Mother Tincture Q,bottle of 100 ml Mother Tincture,NA,MRP₹910,https://www.1mg.com/otc/dr.-reckeweg-syzygium-jamb-mother-tincture-q-otc573774
SBL Liv T Tonic,bottle of 115 ml Tonic,₹115,₹105,https://www.1mg.com/otc/sbl-liv-t-tonic-otc335733
SBL Berberis Vulgaris Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-berberis-vulgaris-dilution-30-ch-otc338367
Dr. Reckeweg Bio-Combination 27 (BC 27) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹182,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-27-bc-27-tablet-otc326255
Allen A39 Anti Obesity Drop,bottle of 30 ml Drop,₹170,₹149,https://www.1mg.com/otc/allen-a39-anti-obesity-drop-otc330369
SBL Iodium Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/sbl-iodium-dilution-30-ch-otc347965
Allen A78 Chronic Anxiety Drop,bottle of 30 ml Drop,₹170,₹152,https://www.1mg.com/otc/allen-a78-chronic-anxiety-drop-otc330380
Boericke and Tafel Calendula & Aloe Vera Multipurpose Cream,jar of 100 gm Cream,₹115,₹101,https://www.1mg.com/otc/boericke-and-tafel-calendula-aloe-vera-multipurpose-cream-otc498707
Dr. Reckeweg R12 Calcification Drop,bottle of 22 ml Drop,₹270,₹227,https://www.1mg.com/otc/dr.-reckeweg-r12-calcification-drop-otc327503
SBL Cina Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,https://www.1mg.com/otc/sbl-cina-dilution-30-ch-otc338347
Allen A26 Piles Drop,bottle of 30 ml Drop,₹170,₹153,https://www.1mg.com/otc/allen-a26-piles-drop-otc330467
LDD Bioscience Kalmegh Mother Tincture Q,bottle of 100 ml Mother Tincture,₹190,₹177,https://www.1mg.com/otc/ldd-bioscience-kalmegh-mother-tincture-q-otc691744
SBL Wormorid Drop,bottle of 30 ml Drop,₹135,₹120,https://www.1mg.com/otc/sbl-wormorid-drop-otc329008
SBL Cochlearia Armoracia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹142,https://www.1mg.com/otc/sbl-cochlearia-armoracia-mother-tincture-q-otc338763
SBL Dibonil Tablet,bottle of 450 gm Tablet,₹865,₹714,https://www.1mg.com/otc/sbl-dibonil-tablet-otc812924
SBL Calcarea Fluorica Biochemic Tablet 200X,bottle of 25 gm Biochemic Tablet,₹115,₹105,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-200x-otc368278
Allen A75 Allergy Drop,bottle of 30 ml Drop,₹170,₹156,https://www.1mg.com/otc/allen-a75-allergy-drop-otc330435
SBL Bacillinum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹103,https://www.1mg.com/otc/sbl-bacillinum-dilution-200-ch-otc345993
SBL Allium Cepa Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-allium-cepa-dilution-200-ch-otc345735
SBL Rosmarinus Officinalis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹92.5,https://www.1mg.com/otc/sbl-rosmarinus-officinalis-dilution-30-ch-otc348613
Dr. Reckeweg Fel Tauri Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹255,₹234,https://www.1mg.com/otc/dr.-reckeweg-fel-tauri-trituration-tablet-3x-otc326938
Dr Willmar Schwabe India Alpha - SH Tablet,bottle of 20 gm Tablet,₹198,₹166,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-sh-tablet-otc326044
SBL Magnesia Phosphoricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,https://www.1mg.com/otc/sbl-magnesia-phosphoricum-dilution-30-ch-otc338316
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Agaricus Muscarius Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,https://www.1mg.com/otc/sbl-agaricus-muscarius-dilution-30-ch-otc345713
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Petroleum Dilution 200C,bottle of 30 ml Dilution,₹115,₹110,https://www.1mg.com/otc/sbl-petroleum-dilution-200c-otc348501
Combo Pack of Dr. Reckeweg R41 Sexual Neurasthenia Drop (22ml) & Dr Willmar Schwabe India Damiaplant Drop (30ml),combo pack of 2 units,₹710,₹626,https://www.1mg.com/otc/combo-pack-of-dr.-reckeweg-r41-sexual-neurasthenia-drop-22ml-dr-willmar-schwabe-india-damiaplant-drop-30ml-otc917435
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Pareira Brava Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹192,https://www.1mg.com/otc/sbl-pareira-brava-mother-tincture-q-otc338435
Dr Willmar Schwabe India Leptandra Mother Tincture Q,bottle of 30 ml Mother Tincture,₹540,₹484,https://www.1mg.com/otc/dr-willmar-schwabe-india-leptandra-mother-tincture-q-otc391268
SBL Arsenicum Sulph Flavum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹167,https://www.1mg.com/otc/sbl-arsenicum-sulph-flavum-trituration-tablet-3x-otc339039
SBL Curcuma Longa Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹94,https://www.1mg.com/otc/sbl-curcuma-longa-mother-tincture-q-otc338490
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Bakson's Homeopathy Card Aid Drop,bottle of 100 ml Drop,₹425,₹372,https://www.1mg.com/otc/bakson-s-homeopathy-card-aid-drop-otc502733
SBL Sulphur Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹94,https://www.1mg.com/otc/sbl-sulphur-mother-tincture-q-otc338578
Adven Folli Plus Tablet,bottle of 90 tablets,₹225,₹184,https://www.1mg.com/otc/adven-folli-plus-tablet-otc726146
Dr. Reckeweg R32 Excessive Perspiration Drop,bottle of 22 ml Drop,₹285,₹268,https://www.1mg.com/otc/dr.-reckeweg-r32-excessive-perspiration-drop-otc327463
SBL Eucalyptus Globulus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹101,https://www.1mg.com/otc/sbl-eucalyptus-globulus-mother-tincture-q-otc349001
Dr Willmar Schwabe India Belladonna Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-belladonna-dilution-30-ch-otc397094
SBL Bio-Combination 26 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹97,https://www.1mg.com/otc/sbl-bio-combination-26-tablet-otc331078
Dr Willmar Schwabe Germany Bryorheum Drop,bottle of 20 ml Drop,₹440,₹384,https://www.1mg.com/otc/dr-willmar-schwabe-germany-bryorheum-drop-otc327185
Lord's Uricid Drop,bottle of 30 ml Drop,₹160,₹148,https://www.1mg.com/otc/lord-s-uricid-drop-otc392868
SBL Bio-Combination 8 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹104,https://www.1mg.com/otc/sbl-bio-combination-8-tablet-otc331039
SBL Cactus Grandiflorus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹118,https://www.1mg.com/otc/sbl-cactus-grandiflorus-mother-tincture-q-otc338510
SBL Cascara Sagrada Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹287,https://www.1mg.com/otc/sbl-cascara-sagrada-mother-tincture-q-otc338791
Fr Muller Bowelease Tablet,bottle of 100 tablets,₹85,₹72.3,https://www.1mg.com/otc/fr-muller-bowelease-tablet-otc782883
German's Acid Chyrso Antifungal Cream,tube of 25 gm Cream,₹70,₹59,https://www.1mg.com/otc/german-s-acid-chyrso-antifungal-cream-otc651869
Dr Willmar Schwabe India Allium Sativum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹93,https://www.1mg.com/otc/dr-willmar-schwabe-india-allium-sativum-mother-tincture-q-otc390658
Dr Willmar Schwabe India Grindelia Pentarkan Ptk 51 Tablet,bottle of 20 gm Tablet,₹185,₹180,https://www.1mg.com/otc/dr-willmar-schwabe-india-grindelia-pentarkan-ptk-51-tablet-otc327665
SBL Sulphur Dilution 6 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-sulphur-dilution-6-ch-otc349031
New Life Bach Flower Walnut 30,bottle of 30 ml Dilution,₹125,₹116,https://www.1mg.com/otc/new-life-bach-flower-walnut-30-otc386683
SBL Thyroidinum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-thyroidinum-dilution-30-ch-otc348819
Dr. Reckeweg Cantharis Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹137,https://www.1mg.com/otc/dr.-reckeweg-cantharis-dilution-200-ch-otc335792
REPL Dr. Advice No.154 Repl African Oil Drop,bottle of 15 ml Drop,₹180,₹175,https://www.1mg.com/otc/repl-dr.-advice-no.154-repl-african-oil-drop-otc901319
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Bahola Corn Paint,bottle of 10 ml Paint,₹85,₹77,https://www.1mg.com/otc/bahola-corn-paint-otc388683
Dr. Reckeweg Conium Mac Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-conium-mac-dilution-30-ch-otc327872
SBL Stramonium Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-stramonium-dilution-30-ch-otc348761
Dr. Reckeweg Mercurius Sol Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-mercurius-sol-dilution-200-ch-otc331943
SBL Calcarea Fluoricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,https://www.1mg.com/otc/sbl-calcarea-fluoricum-dilution-30-ch-otc346041
SBL Wiesbaden Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹109,https://www.1mg.com/otc/sbl-wiesbaden-dilution-200-ch-otc348696
SBL Acid Benzoicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/sbl-acid-benzoicum-dilution-30-ch-otc345534
Bakson's Homeopathy Natrum Sulphuricum Biochemic Tablet 6X,bottle of 250 biochemic tablets,₹105,₹96,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-sulphuricum-biochemic-tablet-6x-otc695563
SBL Sulphur Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹130,https://www.1mg.com/otc/sbl-sulphur-dilution-1000-ch-otc348802
Dr Willmar Schwabe India Arum Dracontium Dilution 30 CH,bottle of 30 ml Dilution,NA,MRP₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-arum-dracontium-dilution-30-ch-otc396448
Dr Willmar Schwabe India Cuprum Carbonicum Dilution 1000 CH,bottle of 30 ml Dilution,NA,MRP₹140,https://www.1mg.com/otc/dr-willmar-schwabe-india-cuprum-carbonicum-dilution-1000-ch-otc401091
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Bio-Combination 17 Tablet,bottle of 450 gm Biocombination Tablet,₹720,₹684,https://www.1mg.com/otc/sbl-bio-combination-17-tablet-otc812868
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Dr. Reckeweg China Off Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹240,https://www.1mg.com/otc/dr.-reckeweg-china-off-mother-tincture-q-otc327767
SBL Carbo Vegetabilis Dilution 6 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-6-ch-otc349137
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Boericke and Tafel Arnica Shampoo,bottle of 150 ml Shampoo,₹180,₹157,https://www.1mg.com/otc/boericke-and-tafel-arnica-shampoo-otc388288
Allen A91 Uterine Fibroids Drop,bottle of 30 ml Drop,₹170,₹144,https://www.1mg.com/otc/allen-a91-uterine-fibroids-drop-otc330241
Wheezal WL57 Anti-Fungal Drop,bottle of 30 ml Drop,₹175,₹147,https://www.1mg.com/otc/wheezal-wl57-anti-fungal-drop-otc387957
Dr. Reckeweg Ammonium Carb Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹134,https://www.1mg.com/otc/dr.-reckeweg-ammonium-carb-dilution-30-ch-otc326911
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Dr. Reckeweg Bio-Combination 1 (BC 1) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹184,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-1-bc-1-tablet-otc326287
Bjain Ginkgo Biloba Mother Tincture Q,bottle of 100 ml Mother Tincture,₹485,₹354,https://www.1mg.com/otc/bjain-ginkgo-biloba-mother-tincture-q-otc445421
Dr. Reckeweg Staphysagria Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹166,https://www.1mg.com/otc/dr.-reckeweg-staphysagria-dilution-200-ch-otc331645
SBL Geranium Maculatum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹280,₹259,https://www.1mg.com/otc/sbl-geranium-maculatum-mother-tincture-q-otc338725
Allen's ArnicaPlus Hair Vitalizer,bottle of 100 ml Oil,₹175,₹170,https://www.1mg.com/otc/allen-s-arnicaplus-hair-vitalizer-otc392976
ADEL 57 Specl-Chol Digestion Drop,bottle of 20 ml Drop,₹295,₹263,https://www.1mg.com/otc/adel-57-specl-chol-digestion-drop-otc723945
German's Height Grow Drop (30ml Each),box of 2 bottles,₹200,₹168,https://www.1mg.com/otc/german-s-height-grow-drop-30ml-each-otc649939
SBL Gnaphalium Polycephalum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹96,https://www.1mg.com/otc/sbl-gnaphalium-polycephalum-dilution-30-ch-otc346667
Dr Willmar Schwabe India Alpha-Liv Liver Tonic,bottle of 100 ml Tonic,₹125,₹114,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-liv-liver-tonic-otc407051
Dr Willmar Schwabe India Topi Heal Cream,tube of 25 gm Cream,₹85,₹75,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-heal-cream-otc327408
Bhargava Bals Tablet,box of 60 tablets,NA,MRP₹160,https://www.1mg.com/otc/bhargava-bals-tablet-otc327559
SBL Pimplex Tablet,bottle of 25 gm Tablet,₹165,₹149,https://www.1mg.com/otc/sbl-pimplex-tablet-otc329010
Haslab Jaborand Hair Lotion,bottle of 25 ml Lotion,₹160,₹120,https://www.1mg.com/otc/haslab-jaborand-hair-lotion-otc327225
Bakson's Homeopathy Homoeopathic Formula P Tablet,bottle of 75 tablets,₹215,₹171,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-p-tablet-otc502901
Rxhomeo Nux Vomica 30C Pellets,bottle of 250 pellets,₹150,₹78,https://www.1mg.com/otc/rxhomeo-nux-vomica-30c-pellets-otc759127
Dr. Reckeweg Agnus Castus Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹164,https://www.1mg.com/otc/dr.-reckeweg-agnus-castus-dilution-200-ch-otc335982
Bjain Avena Sativa Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹150,https://www.1mg.com/otc/bjain-avena-sativa-mother-tincture-q-otc444434
Dr. Reckeweg R95 Alfalfa Tonic,bottle of 100 ml Tonic,₹340,₹320,https://www.1mg.com/otc/dr.-reckeweg-r95-alfalfa-tonic-otc325994
Dr. Reckeweg Acid Phosphoric Dilution 200 CH,bottle of 11 ml Dilution,NA,MRP₹160,https://www.1mg.com/otc/dr.-reckeweg-acid-phosphoric-dilution-200-ch-otc375710
Dr. Reckeweg Blatta Ori Mother Tincture Q,bottle of 20 ml Mother Tincture,₹390,₹338,https://www.1mg.com/otc/dr.-reckeweg-blatta-ori-mother-tincture-q-otc327783
